,County,"1,1,2,2-Tetrachloroethane","1,3-Butadiene",Acetaldehyde,Acrolein,Acrylonitrile,Arsenic,Benzene,Beryllium,Cadmium,Chloroform,Chromium (VI),Chromium III,Ethylene Dichloride,Ethylene Oxide,Formaldehyde,Hexachlorobenzene,Lead,Manganese,Mercury,Nickel,PM2.5 Primary (Filt + Cond),Propylene Dichloride,Trichloroethylene,Vinyl Chloride,COPD deaths normalized,Old,M,Minority
30,Cameron,0.14379053549999998,1867.3871414135715,32627.900985650424,1142.358709253762,7.774494118,2.705823160588235,6577.255752836917,2.8065364887500004,2.1040914052727278,26.066673099999996,0.02060907345882353,0.0801628971,58.116973,4.471341176,44716.41059610195,0.0001250135,19.54577815384615,5.768152568294118,0.7906431898235295,3.514289659777777,119576.97045384622,0.1870977305,4946.832804500001,0.106989107,60.23427327786455,0.17829959284561453,0.48601662172923643,0.02504365744208743
31,Camp,0.429691334,220.71349078419055,6892.723631055341,261.9600384734,0.227058824,0.13336727962499997,754.9476189366059,0.1799792638,0.1656806951,51.57254387533334,0.0016634169733333334,0.058097282874999996,0.72222,0.130588235,9407.036876910739,0.065842956,0.4588244326153844,0.210629602,0.04607189617058823,0.1766711437647059,20799.94789828571,0.216392545,302.4111531499999,0.1197153195,98.64843871368649,0.24693180052819635,0.48438713686499923,0.19822898865931335
32,Carson,8.76148965,156.45058865268186,13150.379410099647,423.5808923512858,0.108988235,0.1135738833125,456.51493456655936,0.22215014342857148,0.21177777217,1.7063693758333336,0.0022733655266666667,0.06725950131249998,0.3876068000000001,0.062682353,19095.923878221773,0.032113589,2.3774417431999995,0.20700875462499999,0.10600284754444445,0.21418777988235296,45525.893027483326,2.3863682035000005,53.50058670000001,1.44466536,131.44758735440934,0.2610648918469218,0.5003327787021631,0.03643926788685524
33,Cass,0.4832852375,422.0209724433637,26082.39596945083,772.7165129131905,0.554023529,3.2410814078888897,1444.7017218675028,1.3899611886666667,7.582291835416668,1581.0892217085,13.65895415824706,0.22712741788888888,3.34149612,0.31863529399999996,33331.33540574445,2.396744712,28.935621232749998,134.5191031712778,0.6348707495000002,23.422289308526313,54719.91439215789,25.570982752000003,220.40714644999997,18.804516605600003,138.75917278185457,0.28942628418945965,0.48332221480987325,0.1875917278185457
34,Castro,0.0006588239999999999,92.16769164224998,11234.919106118577,183.56612838273685,0.145317647,0.09312770657142859,318.1428573481876,0.052488166600000004,0.047082479499999996,0.4866644216,0.0007132497500000004,0.0002554262857142857,0.6666666666666666,0.083576471,15732.248805395731,0.001211834,1.543904419666667,0.14550131957142856,0.021771649375000004,0.12865258226666668,99296.3495828571,0.004329412,87.03911059999999,0.002526118,70.87628865979381,0.21868556701030928,0.5144329896907216,0.05373711340206186
35,Chambers,101.18371595933333,5027.670940111884,37919.59662302782,10397.065725754695,540.6811765,0.586418134,7983.700278137607,0.025370822249999998,2.295082077083333,15.194412466666664,0.08634681882352943,3.3306731290399996,2.21147844,0.391764706,51342.21004152813,0.06933709,6.6200387618666685,1.0871462294444443,0.32539031038095245,3.2559464310526316,351494.14655482606,0.192447626,878.6366415,250.04397982666669,62.80344935868016,0.16879634773786806,0.5062441121766226,0.1144230536969492
36,Cherokee,7.021112443000001,524.8396065462856,29339.396742963214,749.450849606,0.9354823529999999,0.6116625630624999,1759.4340523232645,0.625133392375,0.7608892639,19.724603890666668,2.580307946075,9.192956285222222,3.818969866666667,0.538023529,41189.50996753894,0.276500023,7.395148692285714,1.0510396711875003,0.17062372652941177,0.9652247960588234,60228.45448227028,4.119878312000001,987.6713490000001,2.279252267,105.20869265263883,0.2333946571614733,0.5101567590356828,0.17452378214710054
37,Childress,0.017382451500000003,57.41668809452632,16249.19867216454,85.8938480355,0.127152941,0.08823513785714285,222.6574475568387,0.07202948331428571,0.06388746337499998,0.9000619381666667,0.0006147082714285712,0.0002932524285714286,1.6144882666666664,0.073129412,22340.104125259004,0.0,1.5851430238333333,0.20203031292857143,0.04355737162499999,0.11581686053333332,29101.440830242424,0.010677707500000001,12.433184494999999,0.0059564205,96.140640021975,0.1984617497596484,0.6098063452822414,0.13088861420134598
38,Clay,3.636071654666667,250.46518468180952,20854.125774107655,449.2637862473001,0.190729412,0.1358845518,1069.6927407204391,0.09936310237142856,0.08394265044444445,1.4640192967142858,0.0008938661285714287,0.00038122061428571424,1.232515,0.10969411800000001,28478.69209653861,0.051502926,1.8545360147692305,0.23392455066666665,0.04886512717058823,0.1815253265625,44401.56851657143,2.1934210789999997,65.9157712,1.213415191,118.151500714626,0.3018580276322058,0.4966174368747022,0.03487374940447832
39,Cochran,3.120683755,40.0625441461,14040.952590498408,125.1367893626842,0.054494118,0.03362109416000001,2167.1427236556406,0.005507176281428571,0.008760398012222222,0.9829670271666667,0.00029966925857142856,5.055614571428572e-05,0.3333333333333333,0.031341176,19704.593763294513,0.027064282999999998,1.4200696097230767,0.05107536114666667,0.013228994982941177,0.04719829593750001,28508.4422336303,2.3643848135,36.565915215,1.2150751886666666,77.111812127585,0.21661409043112514,0.49702067998597965,0.08201892744479496
40,Coke,3.3688270763333334,129.35070398531585,27798.507560313188,330.4975042855001,0.054494118,0.03376154066428571,697.5808165742129,0.0038932780666666666,0.010365973112500001,0.9394975775000001,0.00020754416538461536,6.0635383333333336e-05,2.0,0.031341176,37525.88108688219,0.012926225,0.15509576891666665,0.05754280492857143,0.007204066581249999,0.040447209933333325,11788.852670357575,0.6595810115,39.586106555,2.8225299646666664,148.34998486224646,0.3372691492582501,0.4956100514683621,0.03814713896457766
41,Coleman,2.054311622,207.59484546990478,28587.35263936603,357.0600158044499,0.1544,0.10153767226666664,800.2478704547121,0.09820183322857144,0.0816885248222222,0.8224418903333334,0.0005517523714285712,0.0003789668142857143,1.1188718,0.0888,39458.2673060485,0.005857195999999999,3.369764102307692,0.18162719093333335,0.04897781175882353,0.12165245774999998,30107.610960277787,1.086509514,158.0172071,0.6003541099999999,162.8045157456922,0.3239453357100416,0.5046939988116459,0.06250742721330957
42,Collin,240.07160589999998,2185.147118320047,18931.812593707287,1242.0953892735001,455.79421179999997,13.448798361764705,7895.168366695363,9.820353198124998,11.184269136818182,52.9172339,0.41686774988235287,3.6531721457,85.45735333333333,9.083717647,29172.35666942119,0.0,45.71491141333333,22.173981286058822,1.1078708998823528,10.344006125263158,169509.45900029273,0.470552941,10073.056965,600.2745574,41.85741507299311,0.15562496332586295,0.49216846322755053,0.27334559750790877
43,Collingsworth,0.6123750485,47.1473276323158,17845.6165925676,90.87416781061113,0.054494118,0.05030189815384615,210.79454180361293,0.0078015584166666666,0.0073723384285714275,0.27375497683333333,0.0005200944669230768,0.001359891,0.4275650933333333,0.031341176,24698.084033740804,0.019793281,1.1738597748545454,0.08496156707692307,0.004825793673333334,0.07041996549999999,28639.97659355758,0.3433880445,7.874097485,0.189870409,90.66487575554063,0.2478173270651444,0.48153122901276024,0.10376091336467427
44,Colorado,4.870656860666666,485.6569528200908,22631.464434759975,828.9826567491427,0.381458824,0.8720540588125,1715.3463525107156,1.0997122495142857,1.0445616954,2.2821937486666664,0.011139118299999997,0.41542770662499995,2.0758287333333336,0.219388235,33192.00225744067,0.10482360199999999,8.332208708142856,6.976547773529412,0.14439557835294117,1.2554922118235294,56979.581975277775,2.8116724410000002,562.8128465,2.0076815023333334,120.59543998492558,0.28980591671377426,0.5010363670623704,0.15319389485585078
45,Comal,0.009923529,901.5342094125999,19067.771494153534,563.1015600452631,2.188847059,2.0181239327142855,3624.267221320485,2.106743514142857,1.8792089488888888,7.584211248,0.3347231327500001,6.1960307977777775,14.594837333333333,1.258870588,26279.02834641268,0.328608866,22.026224041428573,277.96695981868754,5.728119414555556,51.45197773564706,82413.1286896923,0.065211765,1550.5277765,0.038049647,82.96043753107465,0.2526031678386249,0.4947226365508914,0.052567653952695505
46,Comanche,0.4456899115,171.42616959990474,19815.502179673345,257.58179121875,0.254305882,0.1451037242666667,556.9679087869696,0.1175285589142857,0.0952423358888889,0.8309067551666666,0.0006775038142857141,0.0006407132857142857,1.0,0.146258824,27454.81346166816,0.044029952000000004,3.170467594307691,0.23054594133333334,0.025300289588235294,0.16549116231250002,34399.679569942855,0.2529500335,139.33162074999998,0.139962627,129.17989222706134,0.3078910459880416,0.49708422528973206,0.033660589060308554
47,Concho,0.6908058579999999,72.76761888578947,25776.185917108312,103.88863050572223,0.072658824,0.048263300828571436,470.30554308214204,0.0054428725833333335,0.007034077049999999,0.33346261033333335,0.00036388197076923077,7.464193333333334e-05,0.0,0.041788235,35404.92359667744,0.026458366,0.01253006621818182,0.08139664185714286,0.0051913505,0.06369636613333333,27655.817742933334,0.36916683599999994,17.24389064,0.20401675349999998,81.18765947575969,0.21410345627464625,0.7074924611459058,0.04917652516817444
48,Cooke,12.4720911175,480.0160536440475,16388.1201959175,624.1462424578948,0.708423529,1.6303788229333338,2932.0781360992723,2.224906936857143,1.7555171358888888,5.463854544000001,0.002579680192857142,0.007256152571428572,4.0473766,0.407435294,24129.964921676677,0.195509147,14.273867141230768,2.5588074798,0.15329288358823528,1.5992624359375003,55149.954846972985,7.015052831,2038.0038969999998,3.87883266,94.53781512605042,0.2519007603041217,0.49892456982793115,0.06735194077631053
49,Coryell,0.006382353,651.07516220445,27616.205399327744,1042.0703754335266,1.407764706,0.38803749607142857,1447.5313825487503,0.32613828400000006,0.29492132200000004,6.574768564,0.0013433505999999999,0.001919798857142857,5.495417866666666,0.8096470590000001,39381.10056883013,0.0,2.8304551283333326,0.8075830751428572,0.08529738787500002,0.38619982033333344,60589.60691914287,0.041941176000000004,572.5822400000001,0.024471765,56.354579811172094,0.13952432461306305,0.4987780938263691,0.24033492247906735
50,Cottle,1.8757477925000001,50.35388128359999,21858.03656518011,115.72553894500005,0.027247059,0.023556087714285707,194.57075214840629,0.006267717543333333,0.007099503999999999,0.9905779421666666,0.0001983421523076923,8.162766666666666e-05,0.0,0.015670588,30130.84581580187,0.012926225,0.5368695123499999,0.038266441285714284,0.006839916443750001,0.03393362673333333,13240.440714094115,1.0556722795,3.937048742,0.5836872675,159.30485155684286,0.3113685734974656,0.4851556842867487,0.10934105720492397
51,Crane,81.78356938833332,233.61289572504998,26176.360910061663,3850.530381652895,0.090823529,0.10814709175625001,6917.192973161269,0.0027840538285714284,0.32661214673,22.74955226828572,0.008662485388,0.3791680377375,30.153855784999998,0.052235294,37615.60437506617,0.0,0.6197240008615382,0.16895085099999996,0.03941934854117647,0.3465407157647059,8165.4472396111105,49.80299146733333,93.66193155,31.51386206133333,72.14088690855081,0.17016762147252282,0.5009548058561426,0.06874602164226608
